"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-27",,,"95","H,,S","102",",,S","85",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-28",,,"96","H,,S","106",",,S","87",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-29",,,"97","H,,S","108",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-06-30",,,"95","H,,S","106",",,S","85",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-01",,,"93","H,,S","101",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-02",,,"94","H,,S","104",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-03",,,"93","H,,S","103",",,S","84",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-04",,,"93","H,,S","104",",,S","84",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-05",,,"94","H,,S","106",",,S","80",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-06",,,"94","H,,S","102",",,S","85",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-07",,,"91","H,,S","99",",,S","84",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-08",,,"93","H,,S","103",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-09",,,"94","H,,S","105",",,S","87",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-10",,,"94","H,,S","104",",,S","85",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-11",,,"96","H,,S","107",",,S","85",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-12",,,"100","H,,S","112",",,S","87",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-13",,,"99","H,,S",,,"89",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-14",,,"101","H,,S","107",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-15",,,"95","H,,S",,,"86",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-16",,,"97","H,,S","107",",,S","87",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-17",,,"97","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-18",,,"96","H,,S","106",",,S","87",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-19",,,"95","H,,S",,,"85",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-20",,,"96","H,,S","107",",,S","85",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-21",,,"97","H,,S",,,"86",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-22",,,"99","H,,S","108",",,S",,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-23",,,"99","H,,S",,,,
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-24",,,"97","H,,S","106",",,S","88",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-25",,,"96","H,,S",,,"87",",,S"
"EG000062463","HURGUADA, EG","27.15","33.7167","16.0","2024-07-26",,,"95","H,,S","104",",,S",,
